iter	Passed	Remaining
447	1120	1381
448	1122	1377
449	1125	1375
450	1127	1372
451	1129	1369
452	1131	1365
453	1132	1362
454	1134	1359
455	1136	1355
456	1138	1352
457	1141	1350
458	1143	1347
459	1145	1344
460	1147	1341
461	1148	1337
462	1150	1334
463	1154	1333
464	1157	1332
465	1160	1329
466	1161	1326
467	1163	1322
468	1165	1319
469	1168	1317
470	1170	1314
471	1172	1311
472	1174	1308
473	1176	1305
474	1178	1302
475	1180	1299
476	1182	1296
477	1185	1294
478	1187	1291
479	1189	1288
480	1191	1285
481	1193	1282
482	1194	1278
483	1197	1276
484	1199	1274
485	1201	1270
486	1203	1267
487	1205	1264
488	1207	1261
489	1208	1258
490	1211	1255
491	1214	1253
492	1216	1250
493	1218	1247
494	1219	1244
495	1221	1241
496	1223	1238
497	1225	1235
498	1228	1233
499	1230	1230
500	1232	1227
501	1234	1224
502	1236	1221
503	1238	1218
504	1241	1216
505	1244	1214
506	1246	1211
507	1248	1208
508	1250	1206
509	1253	1204
510	1258	1203
511	1260	1201
512	1262	1198
513	1265	1196
514	1267	1193
515	1270	1192
516	1273	1189
517	1275	1186
518	1277	1184
519	1279	1181
520	1281	1178
521	1284	1176
522	1286	1173
523	1288	1170
524	1290	1167
525	1293	1165
526	1295	1163
527	1299	1161
528	1301	1158
529	1303	1155
530	1305	1152
531	1307	1150
532	1310	1148
533	1313	1146
534	1315	1143
535	1317	1140
536	1319	1137
537	1321	1134
538	1324	1132
539	1327	1130
540	1329	1127
541	1330	1124
542	1332	1121
543	1334	1118
544	1336	1116
545	1339	1113
546	1342	1111
547	1344	1108
548	1346	1106
549	1348	1103
550	1350	1100
551	1353	1098
552	1356	1096
553	1358	1093
554	1360	1090
555	1363	1088
556	1366	1087
557	1369	1084
558	1371	1082
559	1373	1079
560	1375	1076
561	1378	1074
562	1381	1072
563	1383	1069
564	1385	1066
565	1387	1064
566	1389	1061
567	1391	1058
568	1394	1056
569	1396	1053
570	1398	1050
571	1400	1047
572	1402	1045
573	1404	1042
574	1406	1039
575	1409	1037
576	1411	1034
577	1413	1031
578	1415	1029
579	1417	1026
580	1419	1023
581	1421	1021
582	1424	1018
583	1426	1016
584	1428	1013
585	1429	1010
586	1431	1007
587	1433	1004
588	1436	1002
589	1438	999
590	1440	996
591	1442	994
592	1444	991
593	1446	988
594	1448	985
595	1451	983
596	1453	981
597	1455	978
598	1457	975
599	1459	972
600	1461	970
601	1464	968
602	1467	966
603	1469	963
604	1471	960
605	1473	957
606	1475	955
607	1477	952
608	1479	950
609	1481	947
610	1484	944
611	1486	942
612	1487	939
613	1490	936
614	1493	934
615	1495	932
616	1497	929
617	1499	927
618	1501	924
619	1503	921
620	1506	919
621	1508	917
622	1510	914
623	1513	911
624	1514	908
625	1517	906
626	1520	904
627	1522	902
628	1524	899
629	1526	896
630	1529	894
631	1531	891
632	1534	889
633	1536	887
634	1538	884
635	1540	881
636	1542	879
637	1545	876
638	1548	874
639	1550	872
640	1553	870
641	1555	867
642	1557	864
643	1560	862
644	1563	860
645	1565	857
646	1567	854
647	1569	852
648	1571	849
649	1573	847
650	1577	845
651	1579	842
652	1581	840
653	1583	837
654	1585	834
655	1587	832
656	1590	830
657	1592	827
658	1594	825
659	1596	822
660	1598	820
661	1602	818
662	1605	816
663	1607	813
664	1609	810
665	1610	807
666	1612	805
667	1615	802
668	1617	800
669	1619	797
670	1621	795
671	1623	792
672	1625	789
673	1627	787
674	1631	785
675	1633	783
676	1635	780
677	1637	777
678	1639	775
679	1641	772
680	1659	777
681	1662	775
682	1664	772
683	1666	769
684	1668	767
685	1669	764
686	1672	762
687	1675	760
688	1678	757
689	1680	755
690	1682	752
691	1684	749
692	1687	747
693	1690	745
694	1692	742
695	1694	740
696	1696	737
697	1699	735
698	1701	732
699	1704	730
700	1706	727
701	1708	725
702	1710	722
703	1712	720
704	1715	717
705	1719	715
706	1721	713
707	1723	710
708	1725	708
709	1727	705
710	1730	703
711	1734	701
712	1736	698
713	1738	696
714	1740	693
715	1743	691
716	1747	689
717	1749	687
718	1751	684
719	1753	682
720	1756	679
721	1760	677
722	1762	675
723	1764	672
724	1766	670
725	1769	667
726	1772	665
727	1775	663
728	1777	660
729	1780	658
730	1782	655
731	1786	654
732	1789	651
733	1791	649
734	1793	646
735	1795	644
736	1798	641
737	1801	639
738	1803	636
739	1805	634
740	1807	631
741	1810	629
742	1813	627
743	1815	624
744	1818	622
745	1819	619
746	1822	617
747	1825	614
748	1827	612
749	1829	609
750	1831	607
751	1833	604
752	1835	602
753	1838	599
754	1841	597
755	1843	595
756	1845	592
757	1847	589
758	1849	587
759	1853	585
760	1856	583
761	1858	580
762	1860	577
763	1862	575
764	1864	572
765	1867	570
766	1870	568
767	1873	565
768	1875	563
769	1876	560
770	1879	558
771	1882	555
772	1884	553
773	1886	550
774	1888	548
775	1890	545
776	1892	543
777	1896	541
778	1899	538
779	1901	536
780	1903	533
781	1905	531
782	1907	528
783	1911	526
784	1913	524
785	1915	521
786	1917	519
787	1919	516
788	1923	514
789	1926	512
790	1928	509
791	1930	506
792	1932	504
793	1934	501
794	1937	499
795	1940	497
796	1942	494
797	1945	492
798	1947	489
799	1949	487
800	1952	485
801	1954	482
802	1956	480
803	1959	477
804	1961	475
805	1964	472
806	1967	470
807	1969	467
808	1971	465
809	1973	462
810	1975	460
811	1978	457
812	1981	455
813	1983	453
814	2016	457
815	2019	455
816	2024	453
817	2028	451
818	2031	449
819	2034	446
820	2037	444
821	2040	441
822	2042	439
823	2044	436
824	2045	433
825	2047	431
826	2050	428
827	2053	426
828	2055	423
829	2057	421
830	2059	418
831	2061	416
832	2064	413
833	2066	411
834	2069	408
835	2071	406
836	2073	403
837	2074	401
838	2076	398
839	2080	396
840	2082	393
841	2084	391
842	2085	388
843	2087	385
844	2089	383
845	2091	380
846	2094	378
847	2096	375
848	2098	373
849	2100	370
850	2102	368
851	2104	365
852	2107	363
853	2110	360
854	2112	358
855	2114	355
856	2116	353
857	2120	350
858	2123	348
859	2125	346
860	2127	343
861	2129	340
862	2132	338
863	2137	336
864	2139	333
865	2141	331
866	2143	328
867	2147	326
868	2149	324
869	2151	321
870	2154	319
871	2156	316
872	2159	314
873	2163	311
874	2165	309
875	2167	306
876	2169	304
877	2172	301
878	2177	299
879	2179	297
880	2182	294
881	2184	292
882	2187	289
883	2190	287
884	2192	284
885	2195	282
886	2197	279
887	2202	277
888	2204	275
889	2206	272
890	2208	270
891	2210	267
892	2214	265
893	2217	262
894	2219	260
895	2221	257
896	2223	255
897	2226	252
898	2230	250
899	2232	248
900	2234	245
901	2236	243
902	2238	240
903	2242	238
904	2244	235
905	2246	233
906	2248	230
907	2251	228
908	2253	225
909	2256	223
910	2258	220
911	2260	218
912	2262	215
913	2264	213
914	2265	210
915	2268	208
916	2271	205
917	2273	203
918	2275	200
919	2277	198
920	2279	195
921	2281	192
922	2283	190
923	2286	188
924	2288	185
925	2290	183
926	2291	180
927	2293	177
928	2295	175
929	2298	172
930	2301	170
931	2303	168
932	2305	165
933	2307	163
934	2309	160
935	2311	158
936	2314	155
937	2316	153
938	2318	150
939	2320	148
940	2322	145
941	2324	143
942	2328	140
943	2331	138
944	2332	135
945	2334	133
946	2337	130
947	2341	128
948	2344	125
949	2345	123
950	2347	120
951	2349	118
952	2351	115
953	2353	113
954	2356	111
955	2358	108
956	2360	106
957	2362	103
958	2364	101
959	2366	98
960	2369	96
961	2371	93
962	2373	91
963	2375	88
964	2377	86
965	2379	83
966	2381	81
967	2384	78
968	2386	76
969	2388	73
970	2390	71
971	2392	68
972	2395	66
973	2398	64
974	2401	61
975	2403	59
976	2405	56
977	2407	54
978	2410	51
979	2413	49
980	2415	46
981	2417	44
982	2420	41
983	2421	39
984	2424	36
985	2428	34
986	2430	32
987	2432	29
988	2434	27
989	2436	24
990	2440	22
991	2443	19
992	2445	17
993	2447	14
994	2449	12
995	2452	9
996	2455	7
997	2457	4
998	2462	2
999	2464	0
