iter	RMSE
405	226.3614775
406	226.2189005
407	225.9157829
408	225.7758331
409	225.7039927
410	225.5416358
411	225.3851633
412	225.1313014
413	224.9672784
414	224.8523535
415	224.7396592
416	224.4802209
417	224.4263411
418	224.1944098
419	224.1241731
420	223.8969472
421	223.8011866
422	223.5481714
423	223.3710695
424	223.2018396
425	223.081488
426	222.7954495
427	222.673091
428	222.4169817
429	222.2054635
430	222.0005587
431	221.9483724
432	221.8901477
433	221.7619078
434	221.6686343
435	221.6181467
436	221.3900904
437	221.1860235
438	220.9389246
439	220.8572077
440	220.6268012
441	220.2758372
442	220.1099433
443	219.9777358
444	219.9016349
445	219.6393237
446	219.5893538
447	219.5409998
448	219.3209073
449	219.0869911
450	218.9947293
451	218.8383558
452	218.7776222
453	218.5716347
454	218.3598084
455	218.1724055
456	218.0329882
457	217.8310836
458	217.6981516
459	217.6245531
460	217.3737719
461	217.2476275
462	217.0418217
463	216.9221104
464	216.827009
465	216.7795365
466	216.6530409
467	216.5827184
468	216.4093479
469	216.3628712
470	216.1395882
471	216.0658934
472	215.616074
473	215.4898135
474	215.4440723
475	215.1526098
476	214.9782722
477	214.8763418
478	214.6143025
479	214.3537026
480	214.2569096
481	214.0036175
482	213.9298478
483	213.7017107
484	213.4378787
485	213.2784087
486	213.1635777
487	213.1185321
488	212.9582515
489	212.8265199
490	212.7817034
491	212.6331339
492	212.476826
493	212.3362057
494	211.9929894
495	211.7718702
496	211.6633038
497	211.416643
498	211.3753351
499	211.2877229
500	211.2433606
501	211.1382564
502	211.0494185
503	210.962042
504	210.8846462
505	210.8418106
506	210.7663396
507	210.5755688
508	210.3448394
509	210.1363257
510	210.0912095
511	210.0171175
512	209.9402238
513	209.8322908
514	209.6481415
515	209.4343086
516	209.3332387
517	209.2935197
518	209.0909307
519	209.02996
520	208.9378416
521	208.7566329
522	208.5469363
523	208.2480863
524	208.1072182
525	207.902239
526	207.8256096
527	207.7266269
528	207.6604652
529	207.6111853
530	207.5652979
531	207.3819233
532	207.2592381
533	206.9770507
534	206.934924
535	206.7335989
536	206.6615802
537	206.526692
538	206.3508424
539	206.3059841
540	206.2618502
541	206.1470046
542	206.0402414
543	205.9662502
544	205.716228
545	205.6733935
546	205.5035051
547	205.3847455
548	205.315968
549	205.272475
550	205.1559536
551	204.9880774
552	204.9484074
553	204.878106
554	204.8389128
555	204.7730534
556	204.7325182
557	204.6927344
558	204.6194409
559	204.5659381
560	204.3503793
561	204.3131193
562	204.2768962
563	204.1989252
564	204.1610212
565	204.0279302
566	203.9895018
567	203.9282701
568	203.8163313
569	203.7551846
570	203.5821532
571	203.5440244
572	203.3733724
573	203.2606832
574	203.0838694
575	202.9357697
576	202.8989865
577	202.6693026
578	202.6325842
579	202.5965519
580	202.4661816
581	202.4076953
582	202.0535231
583	201.8600942
584	201.7938097
585	201.6534412
586	201.4591879
587	201.2768256
588	201.2414654
589	201.169742
590	201.0870641
591	201.0522856
592	200.9759135
593	200.9122272
594	200.8393133
595	200.703866
596	200.4322052
597	200.27611
598	200.2063069
599	200.0486945
600	199.930292
601	199.8060049
602	199.742433
603	199.653364
604	199.6187808
605	199.5590736
606	199.3968063
607	199.3628498
608	199.2664528
609	199.1916489
610	199.057719
611	198.984963
612	198.8578401
613	198.8259188
614	198.7370141
615	198.6092595
616	198.4839212
617	198.4521029
618	198.403917
619	198.3710406
620	198.3134129
621	198.1368698
622	197.9942557
623	197.9561244
624	197.834142
625	197.7863191
626	197.6772804
627	197.6058618
628	197.5115515
629	197.4790044
630	197.2315153
631	197.1950396
632	197.1586607
633	197.0090878
634	196.7753348
635	196.7400303
636	196.6512052
637	196.5324452
638	196.4790298
639	196.3108636
640	196.1521747
641	195.939579
642	195.8710461
643	195.7500037
644	195.643616
645	195.4837512
646	195.3898206
647	195.2632144
648	195.0423793
649	195.0109429
650	194.8569546
651	194.7639884
652	194.6132032
653	194.4930268
654	194.4578201
655	194.4072531
656	194.2548721
657	194.2240885
658	194.1003124
659	194.0401915
660	193.769119
661	193.6227321
662	193.5016056
663	193.448777
664	193.4144939
665	193.2221579
666	193.0839799
667	192.9633036
668	192.7656246
669	192.7296485
670	192.6512593
671	192.5628319
672	192.5158744
673	192.4826754
674	192.3801691
675	192.3510101
676	192.3015573
677	192.1434249
678	192.0110803
679	191.9403594
680	191.7749788
681	191.7451434
682	191.5959546
683	191.4766421
684	191.3617511
685	191.1419014
686	191.1077757
687	191.0784082
688	191.0492514
689	191.0188583
690	190.9868299
691	190.9561516
692	190.92899
693	190.8817118
694	190.8365384
695	190.8062405
696	190.7451721
697	190.6728819
698	190.6155259
699	190.5867619
700	190.5555197
701	190.5262416
702	190.495941
703	190.4675109
704	190.4379967
705	190.3985203
706	190.265898
707	190.2380415
708	190.2123066
709	190.1836282
710	190.1579268
711	190.1100353
712	190.0645087
713	190.038492
714	189.9824031
715	189.8031004
716	189.7765757
717	189.5514057
718	189.4567018
719	189.3647154
720	189.3397417
721	189.0388794
722	188.9784497
723	188.7676909
724	188.6747813
725	188.5454998
726	188.3960374
727	188.3504262
728	188.32558
729	188.1224957
730	188.0978575
731	188.0587466
732	187.8512803
733	187.7250788
734	187.6322584
735	187.5533322
736	187.4625921
737	187.3324044
738	187.2792658
739	187.0927178
740	186.9484153
741	186.9224287
742	186.8316948
743	186.6823439
744	186.6596054
745	186.6345959
746	186.5677617
747	186.4242144
748	186.2860444
749	186.2174507
750	186.1680514
751	186.0056367
752	185.8660406
753	185.7439365
754	185.6910213
755	185.4821169
756	185.4408751
757	185.3366277
758	185.2028153
759	185.1775915
760	185.1530863
761	184.8128371
762	184.7662179
763	184.5724227
764	184.455904
765	184.3557437
766	184.2845569
767	184.0282568
768	183.904083
769	183.8331499
770	183.6220736
771	183.5457743
772	183.3805798
773	183.2734074
774	183.2510776
775	183.2270704
776	183.1845657
777	183.0820783
778	183.0433186
779	182.8979334
780	182.7982097
781	182.7738445
782	182.7126349
783	182.5926879
784	182.4074394
785	182.2699884
786	182.2458172
787	182.2195209
788	182.1476661
789	182.0217832
790	181.9995065
791	181.9255047
792	181.7591065
793	181.6466597
794	181.5372877
795	181.3880365
796	181.3238051
797	181.2607231
798	181.1168766
799	181.0228933
800	180.9896084
801	180.8880953
802	180.7289083
803	180.6876398
804	180.5936024
805	180.4790907
806	180.3858534
807	180.2548559
808	180.1911162
809	180.0698568
810	180.0328165
811	180.010286
812	179.9584698
813	179.9348397
814	179.8054599
815	179.7011811
816	179.5212005
817	179.3917045
818	179.2094885
819	179.1648805
820	179.0407038
821	178.9959176
822	178.8412648
823	178.8177718
824	178.6780743
825	178.6397646
826	178.550791
827	178.4383741
828	178.4169385
829	178.2340655
830	178.2114248
831	178.1879629
832	178.1648729
833	178.1439634
834	178.1214906
835	178.0409377
836	178.0012177
837	177.9744566
838	177.9542001
839	177.9165754
840	177.8923367
841	177.7666515
842	177.7280808
843	177.7039248
844	177.6783765
845	177.5307685
846	177.4596263
847	177.4359286
848	177.3675274
849	177.2668474
850	177.2419194
851	177.1689948
852	177.0794715
853	177.0551647
854	177.036568
855	176.9089587
856	176.8854793
857	176.7715711
858	176.6306133
859	176.5769086
860	176.5428623
861	176.4386666
862	176.3734115
863	176.2009196
864	176.1302825
865	176.1074726
866	175.9446299
867	175.9234128
868	175.8520872
869	175.8045163
870	175.7545947
871	175.6560656
872	175.5715323
873	175.5385717
874	175.4560646
875	175.3480709
876	175.3240118
877	175.3038984
878	175.1711209
879	175.0117245
880	174.9330851
881	174.909641
882	174.7638987
883	174.5549016
884	174.4584835
885	174.4204896
886	174.3584622
887	174.2694978
888	174.2032813
889	174.1004013
890	173.9879458
891	173.9692418
892	173.874603
893	173.798873
894	173.7110526
895	173.6703115
896	173.5711
897	173.4138466
898	173.3881923
899	173.3257303
900	173.2537628
901	173.1885591
902	173.1659452
903	173.1444328
904	173.0957467
905	173.0155763
906	172.9210001
907	172.8374719
908	172.7306377
909	172.6605275
910	172.5100797
911	172.4494004
912	172.3248445
913	172.2551326
914	172.0964448
915	172.0160203
916	171.8395299
917	171.767082
918	171.7325109
919	171.6995442
920	171.6096693
921	171.5904559
922	171.4901238
923	171.3972456
924	171.21393
925	171.1545051
926	171.136989
927	171.0508646
928	170.9563332
929	170.9029558
930	170.8698323
931	170.8486551
932	170.82858
933	170.7768639
934	170.694759
935	170.675287
936	170.5277715
937	170.3172821
938	170.2374782
939	170.1598103
940	170.1223376
941	170.0353214
942	169.9787222
943	169.9578935
944	169.926271
945	169.8936509
946	169.7870125
947	169.7653877
948	169.6694088
949	169.6510194
950	169.5986325
951	169.56135
952	169.5107864
953	169.4519367
954	169.2521499
955	169.2310347
956	169.1952277
957	169.119699
958	169.0993624
959	169.0657729
960	169.0361366
961	168.8451
962	168.7243543
963	168.5768144
964	168.4288224
965	168.3664153
966	168.2766467
967	168.1974092
968	168.1593895
969	168.068929
970	167.971704
971	167.8832782
972	167.7321836
973	167.6353657
974	167.4979309
975	167.4647632
976	167.3781
977	167.3575095
978	167.2895908
979	167.2683446
980	167.1784046
981	167.1215149
982	166.9786313
983	166.8715116
984	166.7568539
985	166.7021803
986	166.6846813
987	166.6114291
988	166.5425323
989	166.52298
990	166.5053315
991	166.3909935
992	166.3611758
993	166.3021481
994	166.2069108
995	166.1009946
996	166.0807374
997	166.0302312
998	165.8580205
999	165.8083629
